,Id,PID,Lot Area,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,BsmtFin Type 1,Central Air,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Cars,Paved Drive,SalePrice
39,2125,907135050,8428,Inside,CollgCr,Norm,1Fam,1Story,5,7,1994,1994,GLQ,Y,990,1,0,3,1,TA,5,0,1.0,Y,146000
40,1489,908102260,9937,Inside,Edwards,Norm,1Fam,1Story,5,6,1965,1965,BLQ,Y,1256,1,1,3,1,TA,6,0,1.0,Y,147500
41,2383,528110050,13891,Inside,NridgHt,Norm,1Fam,1Story,10,5,2006,2006,GLQ,Y,2076,2,1,2,1,Ex,7,1,3.0,Y,465000
42,983,923275040,9101,Corner,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,GLQ,Y,1110,1,0,1,1,Gd,4,1,2.0,Y,165500
43,1325,902406090,12150,Inside,OldTown,Norm,1Fam,1.5Fin,5,5,1954,1954,Unf,N,1795,2,0,4,1,TA,7,0,1.0,Y,131500
44,1378,905102170,11200,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Rec,Y,1040,1,0,3,1,TA,5,0,1.0,Y,129500
45,1537,909281110,9670,Inside,Crawfor,Norm,1Fam,2Story,8,6,1935,1950,LwQ,Y,1873,1,1,4,1,TA,9,2,2.0,Y,257076
46,905,909101140,10998,Inside,Edwards,Norm,1Fam,1.5Fin,5,5,1941,1960,LwQ,Y,1604,2,0,3,1,TA,6,0,2.0,Y,117000
47,1532,909275050,7200,Inside,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Unf,Y,1502,1,1,3,1,TA,6,1,1.0,P,149000
48,132,534475100,9920,Inside,NAmes,Norm,1Fam,1Story,5,5,1954,1954,Rec,Y,1063,1,0,3,1,TA,6,0,1.0,Y,128000
49,1078,528188090,2448,Inside,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Unf,Y,1626,2,1,2,1,Gd,6,0,2.0,Y,155000
50,2511,533221080,2998,Inside,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,GLQ,Y,1524,2,1,2,1,Gd,4,0,2.0,Y,166000
51,912,909250220,7804,Inside,SWISU,Norm,1Fam,1.5Fin,4,3,1928,1950,BLQ,Y,1981,2,0,4,1,Gd,7,2,2.0,Y,135000
52,2351,527356020,16692,Inside,NWAmes,RRAn,1Fam,2Story,7,5,1978,1978,BLQ,Y,2784,3,1,5,1,Gd,12,2,2.0,Y,250000
53,330,923226250,1476,Inside,MeadowV,Norm,Twnhs,2Story,4,7,1970,1970,GLQ,Y,1092,1,1,3,1,TA,5,0,0.0,Y,76000
54,2586,535305120,10170,Corner,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Unf,Y,1575,1,1,2,1,Gd,5,1,2.0,Y,155000
55,224,905106140,9364,Corner,Sawyer,Norm,1Fam,2Story,6,7,1969,1969,ALQ,Y,1352,1,1,4,1,TA,7,0,1.0,Y,158000
56,98,533212020,2544,Inside,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,GLQ,Y,1200,2,1,2,1,Gd,4,0,2.0,Y,149500
57,2565,534479300,9888,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,1975,BLQ,Y,936,1,0,2,1,TA,5,0,1.0,Y,121000
58,1934,535304170,7942,Inside,NAmes,Norm,1Fam,1Story,6,7,1953,1953,Rec,Y,1040,1,0,3,1,TA,6,0,1.0,Y,136000
59,997,527107010,15038,Corner,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,Rec,Y,1636,2,1,3,1,TA,7,1,2.0,Y,173000
60,64,528382020,11764,CulDSac,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,GLQ,Y,2270,2,1,4,1,Gd,9,1,3.0,Y,290000
61,1799,528458130,9000,Inside,Somerst,Norm,1Fam,2Story,8,5,2007,2007,GLQ,Y,2610,2,1,4,1,Ex,11,1,2.0,Y,303477
62,230,905109170,20062,Inside,ClearCr,Norm,1Fam,1Story,7,7,1977,2001,ALQ,Y,1483,1,1,1,1,TA,4,2,2.0,Y,270000
63,1295,902109160,7308,Corner,OldTown,Artery,1Fam,1.5Fin,5,5,1920,1950,Rec,N,1740,1,0,2,1,Ex,6,1,1.0,N,122250
64,638,535178120,8750,Inside,NAmes,Norm,1Fam,1Story,5,5,1955,1955,Rec,Y,1382,1,0,3,1,Gd,6,0,1.0,Y,153000
65,2278,923202134,8402,Inside,Mitchel,Feedr,1Fam,1Story,5,5,2007,2007,ALQ,Y,1120,1,0,3,1,TA,6,0,0.0,Y,147000
66,2202,909252150,4000,Inside,Crawfor,Norm,1Fam,2Story,7,8,1930,1995,GLQ,Y,1098,1,0,2,1,TA,5,1,1.0,Y,148500
67,2833,908188150,3363,Inside,Edwards,Norm,TwnhsE,2Story,7,5,2004,2004,Unf,Y,1708,2,0,3,1,Gd,7,0,2.0,Y,130000
68,1707,528150040,13615,Corner,NridgHt,Norm,1Fam,1Story,9,5,2006,2006,Unf,Y,1802,2,1,3,1,Ex,7,1,3.0,Y,372000
69,2428,528228565,3013,Inside,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2005,GLQ,Y,1506,2,0,2,1,Gd,6,1,2.0,Y,213490
70,242,905453080,17485,Inside,Edwards,Norm,1Fam,1Story,7,5,2009,2010,GLQ,Y,1508,1,0,1,1,Gd,5,2,2.0,Y,308030
71,1564,914453045,23730,Inside,Mitchel,Norm,1Fam,1Story,7,5,1996,1997,GLQ,Y,2032,3,0,3,1,Gd,7,0,3.0,Y,300000
72,2613,535403150,8910,Corner,NAmes,Norm,1Fam,1Story,6,6,1959,1959,ALQ,Y,1194,1,0,3,1,TA,6,1,2.0,Y,159500
73,2832,908188140,2522,Inside,Edwards,Norm,Twnhs,2Story,7,5,2004,2004,Unf,Y,1709,2,0,3,1,Gd,7,0,2.0,Y,137500
74,2459,528439030,8688,Inside,Somerst,Norm,1Fam,1Story,7,5,2005,2005,Unf,Y,1616,2,0,3,1,Gd,7,0,3.0,Y,232000
75,1360,903452025,6291,Inside,IDOTRR,RRNe,1Fam,1Story,6,6,1930,1950,Unf,Y,768,1,0,1,1,TA,4,0,2.0,N,93850
76,2723,905200380,17529,Inside,Sawyer,Norm,1Fam,1Story,5,5,1924,1950,Unf,N,872,1,0,2,1,Fa,5,1,1.0,N,105000
77,1350,903235100,6324,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Unf,N,520,1,0,1,1,Fa,4,0,1.0,Y,68500
78,136,535106190,11600,Corner,NAmes,Feedr,Duplex,2Story,5,5,1960,1960,Rec,Y,2274,2,0,5,2,TA,12,0,2.0,Y,154300
79,2235,910201050,7288,Inside,IDOTRR,Artery,1Fam,1.5Fin,5,7,1925,2003,Unf,Y,1601,2,0,3,1,TA,6,0,0.0,N,129850
80,1993,902301130,4571,Inside,OldTown,Norm,1Fam,2Story,5,7,1910,1950,BLQ,Y,1232,1,0,3,1,TA,6,0,2.0,Y,114000
81,367,527214050,17423,CulDSac,StoneBr,Norm,1Fam,1Story,9,5,2008,2009,GLQ,Y,2234,2,0,1,1,Ex,9,1,3.0,Y,501837
82,1309,902300215,12665,Inside,OldTown,Artery,1Fam,1.5Fin,5,8,1915,1950,Unf,Y,1416,1,1,4,1,TA,7,1,3.0,Y,153900
83,402,527425110,9000,FR2,NAmes,Norm,1Fam,1Story,4,7,1971,2006,ALQ,Y,864,1,0,3,1,TA,5,0,2.0,Y,130000
84,1592,923203140,4500,FR2,Mitchel,Norm,TwnhsE,1Story,6,5,1997,1997,GLQ,Y,1189,2,0,2,1,TA,4,0,2.0,Y,160500
85,2409,528186110,6373,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2006,2006,GLQ,Y,1666,2,0,2,1,Gd,6,1,2.0,Y,310090
86,539,531371050,10083,Inside,SawyerW,Norm,1Fam,1Story,7,5,2003,2003,GLQ,Y,1200,2,0,2,1,Gd,5,0,2.0,Y,184900
87,1940,535327200,13300,Inside,NAmes,Norm,1Fam,1Story,5,7,1956,2000,Rec,Y,928,1,0,2,1,TA,4,0,1.0,Y,132000
88,588,534129370,9600,Inside,NWAmes,Feedr,1Fam,1Story,5,5,1969,1969,ALQ,Y,1336,2,0,3,1,TA,6,1,2.0,Y,163000
89,96,533210060,3215,Inside,Somerst,Norm,TwnhsE,2Story,7,5,2004,2004,GLQ,Y,1200,2,1,2,1,Gd,4,0,2.0,Y,155000
90,1187,534127210,11104,Inside,NWAmes,Norm,1Fam,SLvl,6,6,1969,1969,GLQ,Y,1427,2,0,4,1,TA,7,0,2.0,Y,183000
91,2154,907280090,15295,Corner,CollgCr,Norm,1Fam,2Story,7,5,1996,2002,GLQ,Y,1992,2,1,3,1,Gd,7,2,2.0,Y,211000
92,550,531452260,9109,Inside,SawyerW,RRAe,1Fam,2Story,7,5,1994,1994,LwQ,Y,1540,2,1,3,1,Gd,6,0,2.0,Y,184000
93,811,906226100,7018,Inside,SawyerW,Norm,Duplex,1Story,5,5,1979,1979,NB,Y,1535,2,0,4,2,TA,8,0,2.0,Y,118858
94,124,534403410,14112,Corner,NAmes,Norm,1Fam,SLvl,5,7,1964,1964,GLQ,Y,1152,1,0,3,1,TA,6,1,2.0,Y,180500
95,1836,533206060,3523,Inside,Somerst,Norm,TwnhsE,1Story,8,5,2006,2007,GLQ,Y,1151,2,0,2,1,Gd,5,0,2.0,Y,166000
96,779,905200350,15312,Inside,Sawyer,Norm,1Fam,SLvl,6,5,1960,1960,BLQ,Y,1138,1,0,3,1,TA,6,1,2.0,Y,148000
97,1886,534276180,7450,Inside,NAmes,Norm,1Fam,1Story,5,5,1956,1956,Rec,Y,1074,1,0,2,1,Gd,6,1,2.0,Y,124000
98,1724,528186090,7313,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,GLQ,Y,1561,2,0,2,1,Ex,6,1,2.0,Y,277500
99,2450,528358030,10019,Inside,NoRidge,Norm,1Fam,2Story,8,5,1995,1995,ALQ,Y,2726,2,1,4,1,Gd,9,1,3.0,Y,350000
100,1013,527214030,15401,CulDSac,StoneBr,Norm,1Fam,1Story,9,5,2004,2004,GLQ,Y,1884,2,0,2,1,Ex,7,1,3.0,Y,387000
101,2084,905476170,9098,Inside,Edwards,Norm,1Fam,1Story,4,7,1920,2002,ALQ,Y,605,1,0,2,1,TA,5,0,0.0,N,86000
102,1184,533350120,16280,Inside,Veenker,Norm,1Fam,1Story,8,9,1976,2007,GLQ,Y,1671,3,0,3,1,Ex,6,1,2.0,Y,290000
103,728,902477130,9392,Corner,IDOTRR,Norm,1Fam,1Story,3,3,1900,1950,Unf,N,797,1,0,2,1,TA,5,0,0.0,N,44000
104,950,914474070,12209,CulDSac,Mitchel,Norm,1Fam,2Story,6,5,2001,2002,ALQ,Y,1961,2,1,3,1,Gd,7,1,2.0,Y,215000
105,2524,534125210,13110,Corner,NWAmes,RRAn,2fmCon,1Story,5,6,1972,1972,GLQ,Y,1193,2,0,2,1,TA,6,0,2.0,Y,146500
106,2513,533223080,2651,FR2,Somerst,Norm,Twnhs,2Story,7,5,2000,2000,GLQ,Y,1382,2,1,3,1,Gd,6,0,2.0,Y,165000
107,2028,903427040,8520,Inside,OldTown,Artery,1Fam,1.5Fin,6,7,1916,1950,Rec,N,2526,2,0,5,1,Gd,10,1,1.0,Y,136000
108,2309,526303060,39384,CulDSac,NAmes,Norm,1Fam,1Story,6,6,1957,1957,ALQ,Y,1390,1,1,1,1,Ex,4,2,2.0,Y,252000
109,51,528188120,2628,Inside,NridgHt,Norm,Twnhs,2Story,7,5,2003,2003,Unf,Y,1626,2,1,2,1,Gd,6,0,2.0,Y,175500
110,699,902106010,6406,Inside,OldTown,Norm,1Fam,2Story,5,6,1939,1950,ALQ,Y,1558,1,1,3,1,TA,7,1,2.0,Y,150000
111,1881,534252110,12342,Inside,NAmes,Norm,1Fam,1Story,5,5,1960,1978,Unf,Y,1422,1,0,3,1,TA,6,1,1.0,Y,139900
112,1345,903232090,6240,Inside,BrkSide,Norm,1Fam,1.5Fin,5,7,1930,1992,Unf,Y,1573,2,0,3,1,TA,8,1,2.0,P,162900
113,166,535457010,10000,Corner,NAmes,Norm,1Fam,1Story,6,6,1962,1962,Unf,Y,1116,1,1,3,1,TA,5,0,2.0,Y,160000
114,781,905228050,9000,Corner,Sawyer,Norm,1Fam,1Story,2,2,1947,1950,NB,N,660,1,0,2,1,Fa,5,0,0.0,N,63900
115,379,527354200,11088,Inside,NWAmes,Norm,1Fam,1Story,6,5,1978,1998,ALQ,Y,1707,2,0,3,1,TA,7,1,2.0,Y,184000
116,2818,908102320,17755,Inside,Edwards,Norm,1Fam,1Story,5,4,1959,1959,BLQ,Y,1466,1,1,3,1,Fa,6,2,2.0,Y,149900
117,1168,533215020,4765,Inside,Somerst,Norm,TwnhsE,1Story,9,5,2000,2000,GLQ,Y,1638,2,0,2,1,Ex,5,1,2.0,Y,300000
118,1396,905226110,10532,Corner,ClearCr,Norm,1Fam,1Story,5,3,1960,1960,Rec,Y,1721,2,0,3,1,TA,7,2,2.0,Y,145000
119,838,907130100,15426,Inside,CollgCr,Norm,1Fam,2Story,6,5,1997,1997,GLQ,Y,1764,2,1,3,1,Gd,7,0,2.0,Y,231500
120,1492,908127120,13907,Inside,Edwards,Norm,1Fam,1Story,5,6,1940,1969,BLQ,Y,996,1,0,3,1,TA,6,1,0.0,Y,108000
121,637,535178040,8750,Inside,NAmes,Norm,1Fam,1Story,5,5,1956,1956,Rec,Y,1202,1,0,3,1,TA,6,0,1.0,Y,120000
122,1826,532377140,9945,Inside,Sawyer,Norm,1Fam,1Story,5,5,1961,1961,Rec,Y,988,1,0,3,1,TA,5,0,2.0,Y,128500
123,173,902106140,8960,Inside,OldTown,Artery,1Fam,1Story,5,6,1927,1950,Unf,Y,1028,1,0,2,1,TA,5,1,2.0,Y,115000
124,715,902301080,3500,Inside,OldTown,Norm,1Fam,1.5Fin,5,7,1947,1950,LwQ,Y,1284,1,1,2,1,TA,5,0,1.0,Y,110000
125,1183,533350090,24572,CulDSac,Veenker,Norm,1Fam,2Story,9,3,1977,1977,GLQ,Y,2944,2,2,3,1,Gd,9,1,3.0,Y,150000
126,2433,528235130,9056,Inside,Gilbert,Norm,1Fam,2Story,8,5,2004,2004,Unf,Y,1414,2,1,3,1,Gd,6,1,2.0,Y,178000
127,2866,909282060,12320,Inside,Crawfor,Norm,1Fam,2Story,7,7,1932,1990,Unf,Y,1609,1,1,3,1,Gd,8,2,3.0,Y,199500
128,2311,527105060,8238,Inside,Gilbert,Norm,1Fam,2Story,6,5,1997,1998,GLQ,Y,1525,2,1,3,1,TA,6,1,2.0,Y,183500
129,1551,910205010,6000,Inside,IDOTRR,Norm,1Fam,SLvl,5,5,1967,1967,Rec,Y,1656,1,1,3,1,TA,7,1,1.0,Y,126000
130,1049,527454120,2529,Inside,NPkVill,Norm,Twnhs,1Story,7,6,1977,1977,ALQ,Y,1055,2,0,2,1,TA,4,0,2.0,Y,148500
131,657,535376060,10800,Inside,OldTown,Norm,1Fam,2Story,5,7,1939,2006,Unf,Y,1352,2,0,4,1,Gd,7,0,2.0,Y,149000
132,414,527454130,2349,Inside,NPkVill,Norm,Twnhs,2Story,6,5,1977,1977,ALQ,Y,1456,2,1,3,1,TA,6,1,2.0,Y,137900
133,1181,533250160,10846,CulDSac,Veenker,Norm,TwnhsE,1Story,8,5,1993,1993,GLQ,Y,1719,1,1,1,1,Gd,6,2,2.0,Y,324000
134,1514,909100170,5604,Inside,Edwards,Norm,1Fam,1Story,5,6,1925,1950,Rec,N,864,1,0,2,1,TA,5,0,0.0,Y,98000
135,1040,527450110,1680,Inside,BrDale,Norm,Twnhs,2Story,6,5,1973,1973,LwQ,Y,987,1,1,2,1,TA,5,0,1.0,Y,103400
136,216,905101100,6342,Inside,Sawyer,Feedr,1Fam,1.5Fin,5,8,1875,1996,Unf,N,1020,1,0,2,1,TA,6,0,0.0,N,94000
137,1720,528181060,4590,Inside,NridgHt,Norm,Twnhs,1Story,8,5,2006,2006,GLQ,Y,1554,2,0,2,1,Gd,6,1,2.0,Y,209500
138,2331,527210040,18062,CulDSac,StoneBr,Norm,1Fam,2Story,10,5,2006,2006,Unf,Y,3390,3,1,5,1,Ex,10,1,3.0,Y,545224
139,204,903426200,12900,Inside,OldTown,Norm,1Fam,2Story,6,8,1912,2009,Unf,Y,1560,1,1,3,1,Gd,7,0,0.0,N,159900
140,19,527276150,19138,Corner,Gilbert,Norm,1Fam,1Story,4,5,1951,1951,LwQ,Y,864,1,0,2,1,TA,4,0,2.0,Y,141000
141,2438,528275080,8658,Inside,Gilbert,Norm,1Fam,2Story,6,5,2000,2000,ALQ,Y,1889,2,1,3,1,TA,9,1,2.0,Y,215000
142,89,532378110,6897,Corner,Sawyer,Norm,1Fam,1Story,5,8,1962,2010,ALQ,Y,1040,1,1,3,1,TA,6,0,1.0,Y,127000
143,240,905452160,9525,Inside,Edwards,Norm,1Fam,1Story,5,7,1954,1998,BLQ,Y,1172,1,0,3,1,TA,5,0,1.0,Y,128000
144,105,533238045,12853,Inside,Somerst,Norm,1Fam,1Story,8,5,2010,2010,GLQ,Y,1418,1,1,1,1,Gd,6,1,3.0,Y,267916
145,2020,903233180,6240,Inside,BrkSide,Norm,1Fam,1.5Fin,6,6,1931,1950,LwQ,Y,1367,1,0,3,1,TA,6,1,1.0,Y,127500
146,888,908128060,7301,Corner,Edwards,Norm,1Fam,SFoyer,7,5,2003,2003,NB,Y,1922,3,0,4,1,Gd,7,1,2.0,Y,198500
147,1019,527302050,12090,Inside,NWAmes,Norm,1Fam,1Story,6,6,1981,1981,GLQ,Y,1422,2,0,3,1,Gd,7,1,2.0,Y,175500
148,2132,907192040,8826,Inside,CollgCr,Norm,1Fam,2Story,7,5,2000,2000,GLQ,Y,1842,2,1,3,1,Gd,7,1,2.0,Y,217500
149,203,903426180,8094,Inside,OldTown,Norm,1Fam,1.5Fin,4,5,1915,1950,Unf,Y,1962,1,1,4,1,TA,9,1,2.0,Y,149500
150,420,527455280,10710,Inside,NAmes,Norm,1Fam,1Story,5,7,1966,2004,BLQ,Y,1120,1,0,3,1,TA,5,1,2.0,Y,148800
151,2333,527212030,16056,Inside,StoneBr,Norm,1Fam,2Story,9,5,2005,2006,GLQ,Y,2868,3,1,4,1,Ex,11,1,3.0,Y,556581
152,632,535152230,8400,Inside,NAmes,Norm,1Fam,1Story,6,3,1957,1957,ALQ,Y,1478,1,1,3,1,TA,6,2,2.0,Y,156500
153,2800,907285100,11250,Corner,CollgCr,Norm,1Fam,2Story,7,5,1995,1996,GLQ,Y,1995,2,1,4,1,Gd,8,1,2.0,Y,237000
154,1885,534276160,7535,Inside,NAmes,Norm,1Fam,1Story,5,7,1958,1985,BLQ,Y,912,1,0,2,1,TA,5,0,1.0,Y,120000
155,1734,528221050,12216,Corner,Gilbert,Norm,1Fam,1Story,6,5,2005,2005,GLQ,Y,1326,2,0,3,1,Gd,6,0,2.0,Y,203000
156,2327,527182020,3701,Inside,StoneBr,Norm,TwnhsE,1Story,8,5,1987,1987,Unf,Y,1204,2,0,2,1,TA,5,0,2.0,Y,130000
157,1282,535476370,9760,Inside,NAmes,Norm,1Fam,2Story,6,6,1964,1964,GLQ,Y,1611,1,1,4,1,TA,7,0,2.0,Y,167900
158,2688,903425340,9873,Inside,BrkSide,RRAn,2fmCon,1Story,4,5,1970,1970,ALQ,N,960,1,0,3,1,TA,6,0,2.0,Y,129000
159,2581,535180070,10011,Inside,NAmes,Norm,1Fam,1Story,5,6,1957,1996,BLQ,Y,1236,1,0,2,1,Gd,6,1,1.0,Y,134450
160,2067,905226050,25339,Inside,Sawyer,Norm,1Fam,1Story,5,7,1918,2007,Unf,Y,1416,2,0,3,1,Gd,7,0,2.0,N,112000
161,2115,906403060,8883,Inside,SawyerW,Norm,1Fam,2Story,7,5,1988,1988,GLQ,Y,1873,2,1,3,1,Gd,7,1,2.0,Y,207000
162,754,903430070,3000,Inside,OldTown,Norm,Duplex,2Story,5,1,1922,1950,Unf,N,2128,2,0,4,2,TA,11,0,0.0,Y,62500
163,1079,528188150,2448,Inside,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,GLQ,Y,1626,2,1,2,1,Gd,6,0,2.0,Y,154000
164,2615,535404080,7100,Corner,NAmes,Norm,1Fam,1Story,5,7,1957,1957,GLQ,Y,816,1,0,2,1,TA,5,0,1.0,Y,129900
165,329,923225440,2592,Inside,MeadowV,Norm,TwnhsE,2Story,5,3,1976,1976,Rec,Y,1112,1,1,3,1,TA,4,0,1.0,Y,85000
166,1320,902401010,5700,Inside,OldTown,Norm,1Fam,1.5Fin,7,7,1926,1950,Unf,Y,1111,1,0,2,1,TA,5,1,1.0,Y,116900
167,416,527455060,2289,Inside,NPkVill,Norm,Twnhs,2Story,6,6,1978,1978,ALQ,Y,1441,2,1,3,1,TA,7,1,2.0,Y,148500
